players_id,year_id,avg_velocity,spin_rate,pitch_count,strike_rate
akinke01,2023,90.43495575221239,2229.49889135255,501,0.3093812375249501
alanirj01,2019,89.77528517110267,2194.6360153256705,275,0.20363636363636364
alanirj01,2021,89.07042253521126,2047.338028169014,113,0.2920353982300885
alberan01,2017,83.84716459197787,2016.937321937322,723,0.2641770401106501
alberan01,2021,84.14416873449133,2054.982630272953,436,0.24311926605504589
alberha01,2019,70.94999999999999,1452.6,20,0.1
alberha01,2021,64.85,1323.0,2,0.0
alberha01,2022,64.73421052631579,1493.3815789473683,152,0.125
alberha01,2023,63.169696969696965,1543.090909090909,33,0.06060606060606061
alberma01,2017,90.99879518072288,2109.6370967741937,1078,0.2690166975881262
alberma01,2018,89.10847953216374,2042.4073529411764,743,0.24764468371467024
alberma01,2019,88.64770554493307,2094.6065573770493,1084,0.283210332103321
albural01,2017,90.37116788321168,2345.9598540145985,412,0.3300970873786408
alcaljo01,2019,91.22758620689656,2342.310344827586,29,0.3103448275862069
alcaljo01,2020,92.47558685446009,2404.872641509434,466,0.27896995708154504
alcaljo01,2021,93.08783482142859,2367.0691964285716,967,0.29162357807652534
alcaljo01,2022,90.00116279069768,2332.313953488372,86,0.22093023255813954
alcaljo01,2023,90.8593607305936,2368.7442396313363,456,0.3048245614035088
alcanra01,2017,91.75120593692023,1988.8861940298507,651,0.21658986175115208
alcansa01,2017,94.50193548387098,2311.6013071895427,220,0.32272727272727275
alcansa01,2018,91.78395061728395,2231.479427549195,686,0.2755102040816326
alcansa01,2019,91.50563106796118,2346.9537843268586,3241,0.25887071891391544
alcansa01,2020,93.04646153846153,2333.266253869969,1046,0.2447418738049713
alcansa01,2021,94.10921861281827,2241.163593795727,3417,0.276558384547849
alcansa01,2022,94.41612708018154,2217.4138872043663,3335,0.27256371814092956
alcansa01,2023,94.11497005988025,2222.63293370945,2910,0.27491408934707906
alcanse01,2021,87.15,2285.0,4,0.0
alcanvi01,2017,90.7723880597015,2036.0373134328358,156,0.24358974358974358
alcanvi01,2018,92.37906458797326,2011.4075723830736,502,0.2450199203187251
alcanvi01,2019,92.12471264367817,2018.5387931034484,775,0.24903225806451612
alexaja01,2022,88.10215517241379,2132.257981018119,1181,0.25656223539373413
alexaty01,2019,87.27047930283223,2224.1128848346634,928,0.23706896551724138
alexaty01,2020,87.01028481012658,2122.0015873015873,675,0.25333333333333335
alexaty01,2021,86.84049450549452,2115.3579295154186,1820,0.2510989010989011
alexaty01,2022,86.1316009557945,2134.806060606061,1696,0.2358490566037736
alexaty01,2023,86.27294797687863,2174.3317919075143,865,0.27976878612716766
alexyaj01,2021,88.17004716981134,2137.2735849056603,442,0.22171945701357465
alexyaj01,2022,89.42085561497326,2198.51871657754,200,0.24
allarko01,2018,84.87826086956521,1812.0807453416148,183,0.16393442622950818
allarko01,2019,88.40227001194742,2041.868578255675,896,0.24888392857142858
allarko01,2020,87.46994382022473,2128.7819971870604,752,0.26861702127659576
allarko01,2021,87.20810162991371,2031.410465674508,2167,0.25980618366405167
allarko01,2022,87.29567901234567,2019.2932098765432,351,0.301994301994302
allarko01,2023,84.4079831932773,2010.9411764705883,251,0.28286852589641437
alldrca01,2022,83.21875,2174.3125,25,0.32
allenco01,2017,89.78739365815932,2555.9497293116783,1377,0.28903413217138707
allenco01,2018,89.51406779661016,2495.9830364715863,1286,0.2931570762052877
allenco01,2019,87.70094517958412,2493.5992438563326,610,0.26229508196721313
allenlo01,2019,87.13541202672606,1941.344262295082,532,0.24060150375939848
allenlo01,2020,87.00651340996167,2135.1570881226053,302,0.24834437086092714
allenlo01,2021,86.26842105263158,2147.7537227949597,972,0.25205761316872427
allenlo01,2022,85.63811659192827,2116.7578475336322,271,0.2952029520295203
allenlo02,2023,86.09756326148079,1919.924092409241,2168,0.2587638376383764
allgeni01,2021,89.27368421052631,2256.157894736842,57,0.2807017543859649
almonmi01,2017,90.876,2395.08,145,0.20689655172413793
almonmi01,2018,88.66567164179105,2405.4402985074626,188,0.31382978723404253
almonye01,2018,91.87834101382488,2278.5503512880564,469,0.2537313432835821
almonye01,2019,91.51451612903226,2228.55608974359,699,0.21745350500715308
almonye01,2020,89.28714859437751,2176.1967871485945,519,0.28901734104046245
almonye01,2021,89.15866228070176,2155.1265126512653,940,0.2670212765957447
almonye01,2022,89.74510556621883,2280.769230769231,552,0.3442028985507246
almonye01,2023,88.96203143893591,2353.307028360049,851,0.2925969447708578
almoral01,2021,67.025,1591.5,28,0.17857142857142858
altavda01,2017,93.45641025641025,2490.544117647059,914,0.2833698030634573
altavda01,2018,91.90185185185186,2545.3333333333335,445,0.32134831460674157
altavda01,2019,93.02964285714286,2570.15625,349,0.2607449856733524
altavda01,2020,93.5970515970516,2472.7027027027025,445,0.29213483146067415
altavda01,2021,92.30285714285715,2494.0857142857144,87,0.3448275862068966
altheaa01,2019,86.94736842105263,2255.5789473684213,19,0.42105263157894735
alvarda01,2017,85.9078125,2486.2384615384617,474,0.3143459915611814
alvarhe01,2017,88.66884615384616,1774.8214285714287,261,0.21839080459770116
alvarjo02,2017,86.83108808290156,2254.6013986013986,824,0.25849514563106796
alvarjo02,2018,87.65393474088293,2244.2477876106195,1113,0.27133872416891286
alvarjo02,2019,87.39827235772357,2263.622680412371,1076,0.2732342007434944
alvarjo02,2020,87.54214285714285,2221.95,163,0.25766871165644173
alvarjo02,2021,87.22774922918808,2002.166492146597,1018,0.28487229862475444
alvarjo02,2022,86.5003663003663,1916.8208955223881,300,0.2733333333333333
alvarjo03,2017,95.27424242424242,2200.965367965368,479,0.2860125260960334
alvarjo03,2018,94.05236258437802,2169.0,1114,0.3087971274685817
alvarjo03,2019,96.72320819112629,2249.5993091537134,599,0.2904841402337229
alvarjo03,2020,95.2734439834025,2157.427385892116,292,0.3013698630136986
alvarjo03,2021,97.93294117647058,2128.659663865546,1195,0.3104602510460251
alvarjo03,2022,97.00244343891404,2149.3864253393667,1105,0.31493212669683257
alvarjo03,2023,96.3920218579235,2140.671038251366,920,0.2891304347826087
alvarrj01,2022,88.3921568627451,2263.4901960784314,51,0.3137254901960784
alzolad01,2019,89.24222222222222,2424.5810810810813,225,0.24
alzolad01,2020,88.59741602067183,2490.259668508287,438,0.2694063926940639
alzolad01,2021,89.79652742828384,2364.696878147029,2038,0.2806673209028459
alzolad01,2022,90.54766839378239,2413.8238341968913,193,0.3005181347150259
alzolad01,2023,90.77577962577963,2428.2243386243385,1023,0.30009775171065495
anderbr04,2017,85.7889101338432,1985.7007648183555,1126,0.24866785079928952
anderbr04,2018,85.98654970760234,1974.5756056808689,1203,0.228595178719867
anderbr04,2019,86.83997852541158,1936.7757076316732,2836,0.2390691114245416
anderbr04,2020,85.51489361702129,2020.5531914893618,798,0.2543859649122807
anderbr04,2021,84.82238244514107,1795.3403416557162,1695,0.2383480825958702
anderch01,2017,88.42590759075907,2228.434818481848,2476,0.26696284329563813
