,games,opponent_batting_avg,runs,ERA,WHIP,weight,height,Age,throws_L,avg_velocity,spin_rate,strike_rate,strikeouts_per_pitch,walks_per_pitch,home_runs_per_batter,hit_by_pitch_per_batter,pitches_per_out,strikeouts_per_out,wins_per_game,losses_per_game,wild_pitches_per_game,balks_per_game,intentional_walks_per_game,saves_per_game,shutouts_per_game,complete_games_per_start,batters_faced_per_game,ip_per_game,starter_rate,finisher_rate,double_plays_per_batter,sac_flies_per_batter,sac_hits_per_batter
2340,29,0.29,106,6.2,1.711111111111111,223.0,74.0,31.0,True,86.13753512645523,2114.909273384183,0.25172149961744456,0.03978576893649579,0.028691660290742157,0.04952076677316294,0.012779552715654952,6.454320987654321,0.25679012345679014,0.2413793103448276,0.4827586206896552,0.2413793103448276,0.0,0.06896551724137931,0.0,0.0,0.0,21.586206896551722,4.655172413793103,0.896551724137931,0.0,0.02875399361022364,0.004792332268370607,0.001597444089456869
2341,36,0.24,74,3.57,1.2898832684824901,223.0,74.0,32.0,True,86.80767160161506,2257.2556416301786,0.2749838813668601,0.054480980012894906,0.021598968407479047,0.026134800550206328,0.005502063273727648,6.035019455252918,0.32879377431906615,0.19444444444444445,0.25,0.05555555555555555,0.027777777777777776,0.16666666666666666,0.0,0.0,0.0,20.194444444444443,4.7592592592592595,0.8333333333333334,0.027777777777777776,0.016506189821182942,0.009628610729023384,0.012379642365887207
2342,51,0.51,61,6.08,1.505928853754941,223.0,74.0,33.0,True,88.04467073998643,2310.2898845892737,0.2904434728294816,0.05121798875702686,0.028107432854465958,0.05319148936170213,0.010638297872340425,6.32806324110672,0.3241106719367589,0.0392156862745098,0.09803921568627451,0.0196078431372549,0.0,0.0392156862745098,0.0,0.0,0.125,7.372549019607843,1.65359477124183,0.1568627450980392,0.37254901960784315,0.015957446808510637,0.005319148936170213,0.018617021276595744
2343,12,0.26,33,6.86,1.4016393442622952,223.0,74.0,34.0,True,86.64595635430038,2325.8020565552697,0.3010262257696693,0.05131128848346636,0.01710376282782212,0.0670391061452514,0.01675977653631285,7.188524590163935,0.36885245901639346,0.08333333333333333,0.25,0.16666666666666666,0.08333333333333333,0.0,0.0,0.0,0.0,14.916666666666666,3.388888888888889,0.4166666666666667,0.25,0.0223463687150838,0.0,0.0
2344,39,0.29,29,5.07,1.5704697986577183,223.0,74.0,35.0,True,88.56337325349301,2253.1077844311376,0.2934131736526946,0.05089820359281437,0.01996007984031936,0.02666666666666667,0.0044444444444444444,6.724832214765101,0.3422818791946309,0.07692307692307693,0.05128205128205128,0.05128205128205128,0.0,0.02564102564102564,0.0,0.0,0.0,5.769230769230769,1.2735042735042734,0.02564102564102564,0.3076923076923077,0.013333333333333334,0.008888888888888889,0.0
2345,62,0.79,26,3.88,1.206896551724138,210.0,70.0,32.0,False,88.49547413793103,2247.7295454545456,0.3057517658930373,0.07063572149344097,0.027245206861755803,0.029045643153526972,0.004149377593360996,5.695402298850575,0.40229885057471265,0.04838709677419355,0.0967741935483871,0.12903225806451613,0.0,0.03225806451612903,0.6612903225806451,0.0,0.0,3.8870967741935485,0.9354838709677419,0.0,0.9516129032258065,0.02074688796680498,0.004149377593360996,0.0
2346,56,0.44,30,4.66,1.618705035971223,210.0,70.0,33.0,False,88.29314565483476,2203.48,0.26894865525672373,0.05745721271393643,0.039119804400977995,0.009433962264150943,0.0047169811320754715,5.884892086330935,0.3381294964028777,0.03571428571428571,0.03571428571428571,0.0,0.0,0.03571428571428571,0.05357142857142857,0.0,0.0,3.7857142857142856,0.8273809523809524,0.0,0.23214285714285715,0.018867924528301886,0.0,0.0047169811320754715
2347,40,0.2,18,4.54,1.3738317757009346,210.0,70.0,34.0,False,86.9193009118541,2183.714518760196,0.27627627627627627,0.06156156156156156,0.036036036036036036,0.03289473684210526,0.0,6.224299065420561,0.38317757009345793,0.025,0.05,0.15,0.0,0.05,0.425,0.0,0.0,3.8,0.8916666666666666,0.0,0.675,0.019736842105263157,0.013157894736842105,0.0
2348,28,0.2,8,1.91,0.9529411764705883,210.0,70.0,35.0,False,87.68864097363083,2238.3610547667345,0.3145009416195857,0.0583804143126177,0.013182674199623353,0.008928571428571428,0.026785714285714284,6.247058823529412,0.36470588235294116,0.10714285714285714,0.0,0.03571428571428571,0.0,0.03571428571428571,0.21428571428571427,0.0,0.0,4.0,1.0119047619047619,0.0,0.32142857142857145,0.026785714285714284,0.008928571428571428,0.008928571428571428
2349,57,0.23,32,4.85,1.347305389221557,210.0,70.0,36.0,False,87.59077231695085,2171.2941767068273,0.25689819219790677,0.05042816365366318,0.024738344433872503,0.037037037037037035,0.00411522633744856,6.293413173652695,0.31736526946107785,0.05263157894736842,0.08771929824561403,0.10526315789473684,0.017543859649122806,0.03508771929824561,0.14035087719298245,0.0,0.0,4.2631578947368425,0.9766081871345029,0.0,0.42105263157894735,0.00823045267489712,0.00411522633744856,0.00411522633744856
2350,5,0.33,5,7.71,1.5,210.0,70.0,37.0,False,88.50750000000001,2179.5,0.3565217391304348,0.043478260869565216,0.008695652173913044,0.15,0.0,8.214285714285714,0.35714285714285715,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.9333333333333333,0.0,0.4,0.0,0.05,0.0
2351,6,0.26,7,7.71,1.5714285714285714,215.0,79.0,25.0,False,88.2551948051948,2444.0,0.2857142857142857,0.05194805194805195,0.025974025974025976,0.03125,0.0,7.333333333333333,0.38095238095238093,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,5.333333333333333,1.1666666666666667,0.0,0.5,0.0,0.03125,0.0
2352,26,0.24,23,5.88,1.4554455445544556,215.0,79.0,26.0,False,89.75339652448656,2471.315345699831,0.277526395173454,0.048265460030165915,0.027149321266968326,0.05194805194805195,0.03896103896103896,6.564356435643564,0.31683168316831684,0.07692307692307693,0.0,0.0,0.0,0.038461538461538464,0.038461538461538464,0.0,0.0,5.923076923076923,1.2948717948717947,0.0,0.2692307692307692,0.012987012987012988,0.0,0.0
2353,1,0.67,0,0.0,9.0,230.0,78.0,24.0,False,92.38823529411764,2280.392156862745,0.22058823529411764,0.0,0.014705882352941176,0.0,0.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0
2354,13,0.18,19,4.0,1.3611111111111112,230.0,78.0,25.0,False,89.51581325301204,2204.145234493192,0.2789317507418398,0.05341246290801187,0.03857566765578635,0.0189873417721519,0.0,6.2407407407407405,0.3333333333333333,0.15384615384615385,0.23076923076923078,0.15384615384615385,0.0,0.0,0.0,0.0,0.0,12.153846153846153,2.769230769230769,0.3076923076923077,0.15384615384615385,0.006329113924050633,0.012658227848101266,0.0
2355,1,0.3,1,3.38,1.5,230.0,78.0,26.0,False,88.5875,2322.1702127659573,0.2625,0.025,0.0125,0.0,0.0,10.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,2.6666666666666665,0.0,0.0,0.09090909090909091,0.0,0.0
2356,37,0.28,37,4.68,1.6820809248554913,245.0,75.0,26.0,True,83.0439024390244,1982.5152091254754,0.24715162138475022,0.028921998247151623,0.029798422436459245,0.04411764705882353,0.022058823529411766,6.595375722543353,0.1907514450867052,0.05405405405405406,0.10810810810810811,0.08108108108108109,0.0,0.08108108108108109,0.0,0.0,0.0,7.351351351351352,1.5585585585585584,0.1891891891891892,0.2702702702702703,0.011029411764705883,0.011029411764705883,0.0
2357,11,0.29,21,6.84,2.0126582278481013,245.0,77.0,25.0,False,91.70621242484968,2157.375502008032,0.24773960216998192,0.0379746835443038,0.04159132007233273,0.015503875968992248,0.015503875968992248,7.0,0.26582278481012656,0.09090909090909091,0.2727272727272727,0.36363636363636365,0.0,0.09090909090909091,0.0,0.0,0.0,11.727272727272727,2.393939393939394,0.36363636363636365,0.5454545454545454,0.031007751937984496,0.007751937984496124,0.0
2358,35,0.23,36,5.58,1.62,245.0,77.0,26.0,False,90.25956471935852,2226.089861751152,0.2867132867132867,0.055944055944055944,0.03596403596403597,0.020833333333333332,0.0375,6.673333333333333,0.37333333333333335,0.02857142857142857,0.05714285714285714,0.11428571428571428,0.0,0.02857142857142857,0.0,0.0,0.0,6.857142857142857,1.4285714285714286,0.0,0.2857142857142857,0.016666666666666666,0.0,0.0
2359,1,0.33,0,0.0,1.5,245.0,77.0,27.0,False,85.05151515151516,2359.5454545454545,0.32558139534883723,0.023255813953488372,0.0,0.0,0.0,10.75,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.3333333333333333,0.0,0.0,0.0,0.0,0.0
2360,70,0.6,32,3.5,1.1527777777777777,245.0,77.0,28.0,False,91.83851080864693,2340.1113782051284,0.32805071315372425,0.06259904912836767,0.022979397781299524,0.016835016835016835,0.013468013468013467,5.842592592592593,0.36574074074074076,0.11428571428571428,0.05714285714285714,0.12857142857142856,0.014285714285714285,0.02857142857142857,0.0,0.0,0.0,4.242857142857143,1.0285714285714285,0.0,0.21428571428571427,0.020202020202020204,0.003367003367003367,0.003367003367003367
2361,67,0.45,21,2.33,0.9904306220095693,245.0,77.0,29.0,False,94.81875563570784,2271.4346257889993,0.3070097604259095,0.06388642413487133,0.019520851818988466,0.007067137809187279,0.0353356890459364,5.392344497607655,0.3444976076555024,0.1044776119402985,0.05970149253731343,0.014925373134328358,0.0,0.029850746268656716,0.29850746268656714,0.0,0.0,4.223880597014926,1.0398009950248757,0.0,0.5074626865671642,0.014134275618374558,0.0,0.0035335689045936395
2362,66,0.22,22,2.86,1.1746031746031746,245.0,77.0,30.0,False,93.05861111111112,2280.450834879406,0.3111111111111111,0.06574074074074074,0.021296296296296296,0.007633587786259542,0.011450381679389313,5.714285714285714,0.37566137566137564,0.06060606060606061,0.06060606060606061,0.07575757575757576,0.015151515151515152,0.0,0.36363636363636365,0.0,0.0,3.9696969696969697,0.9545454545454546,0.0,0.6212121212121212,0.022900763358778626,0.007633587786259542,0.0
2363,2,0.5,2,13.5,3.75,180.0,68.0,32.0,False,70.26451612903226,1834.6774193548388,0.15625,0.0,0.0,0.1,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.6666666666666666,0.0,1.0,0.0,0.0,0.0
2364,1,0.33,0,0.0,1.0,180.0,68.0,33.0,False,49.760000000000005,1310.7777777777778,0.3,0.0,0.0,0.0,0.0,3.3333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0
2365,10,0.22,3,3.0,1.1111111111111112,200.0,74.0,26.0,True,85.52849740932642,2078.626943005181,0.24186046511627907,0.027906976744186046,0.009302325581395349,0.02564102564102564,0.02564102564102564,7.962962962962963,0.2222222222222222,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,3.9,0.9,0.0,0.5,0.0,0.0,0.0
2366,59,0.18,21,2.11,0.8671875,200.0,74.0,27.0,True,86.95532075471698,2126.2316426949283,0.2966226138032305,0.05433186490455213,0.013215859030837005,0.027777777777777776,0.0030864197530864196,5.3203125,0.2890625,0.05084745762711865,0.03389830508474576,0.06779661016949153,0.0,0.01694915254237288,0.01694915254237288,0.0,0.0,5.491525423728813,1.4463276836158192,0.01694915254237288,0.11864406779661017,0.018518518518518517,0.0030864197530864196,0.0030864197530864196
2367,3,0.28,4,8.31,1.8461538461538463,195.0,74.0,26.0,False,89.73076923076923,1936.820512820513,0.18604651162790697,0.046511627906976744,0.03488372093023256,0.09523809523809523,0.0,6.615384615384615,0.3076923076923077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.4444444444444444,0.6666666666666666,0.0,0.0,0.0,0.0
2368,40,0.59,29,4.82,1.4522292993630572,195.0,74.0,28.0,False,89.26521739130435,2092.671625929862,0.2650273224043716,0.040983606557377046,0.020947176684881604,0.042735042735042736,0.021367521367521368,6.993630573248407,0.28662420382165604,0.05,0.1,0.075,0.025,0.0,0.0,0.0,0.0,5.85,1.3083333333333333,0.0,0.25,0.021367521367521368,0.004273504273504274,0.004273504273504274
2369,52,0.28,20,3.92,1.7661290322580645,240.0,75.0,30.0,False,88.57263843648208,2429.046614872364,0.2807017543859649,0.05572755417956656,0.026831785345717233,0.03553299492385787,0.005076142131979695,7.814516129032258,0.43548387096774194,0.057692307692307696,0.019230769230769232,0.019230769230769232,0.0,0.019230769230769232,0.0,0.0,0.0,3.7884615384615383,0.7948717948717949,0.0,0.15384615384615385,0.01015228426395939,0.0,0.0
2370,2,0.5,3,20.25,4.5,240.0,75.0,31.0,False,85.06901408450703,2417.6338028169016,0.25210084033613445,0.0,0.01680672268907563,0.1,0.0,29.75,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.6666666666666666,0.0,1.0,0.0,0.0,0.0
2371,3,0.11,2,0.53,0.8823529411764706,230.0,77.0,24.0,False,88.4022641509434,2197.6439393939395,0.2545454545454545,0.06363636363636363,0.02727272727272727,0.015873015873015872,0.015873015873015872,6.470588235294118,0.4117647058823529,1.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,21.0,5.666666666666667,1.0,0.0,0.06349206349206349,0.0,0.0
2372,23,0.67,38,3.74,1.0714285714285714,230.0,77.0,25.0,False,89.86535493827161,2232.1740827478534,0.2955840455840456,0.06908831908831908,0.014957264957264958,0.021671826625386997,0.021671826625386997,5.899159663865547,0.40756302521008403,0.08695652173913043,0.21739130434782608,0.13043478260869565,0.0,0.043478260869565216,0.043478260869565216,0.0,0.0,14.043478260869565,3.4492753623188404,0.5652173913043478,0.08695652173913043,0.018575851393188854,0.0030959752321981426,0.0030959752321981426
2373,32,0.23,22,3.15,1.1833333333333333,230.0,77.0,26.0,False,90.5262,2247.5290581162326,0.28949771689497716,0.05114155251141553,0.02009132420091324,0.012145748987854251,0.024291497975708502,6.083333333333333,0.3111111111111111,0.15625,0.125,0.09375,0.0,0.09375,0.25,0.0,0.0,7.71875,1.875,0.125,0.4375,0.03643724696356275,0.004048582995951417,0.004048582995951417
2374,21,0.25,61,5.01,1.3679245283018868,230.0,77.0,27.0,False,88.91091954022988,2296.0052386495927,0.2964487905301081,0.050952135872362324,0.02110138960370561,0.03023758099352052,0.012958963282937365,6.110062893081761,0.3113207547169811,0.2857142857142857,0.47619047619047616,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,22.047619047619047,5.0476190476190474,1.0,0.0,0.017278617710583154,0.008639308855291577,0.004319654427645789
